31
0	0
1	6
2	6
3	5
4	2
5	2
6	6
7	3
8	3
9	8
10	10
11	1
12	3
13	1
14	5
15	2
16	7
17	5
18	7
19	7
20	6
21	1
22	10
23	6
24	1
25	2
26	2
27	8
28	2
29	2
30	6
1	8
1	14
1	17
1	18
1	20
1	21
1	25
1	26
2	8
2	13
2	16
2	17
2	19
2	21
2	22
2	23
2	25
3	7
3	8
3	10
3	16
3	20
3	24
4	6
4	12
4	13
4	16
4	20
4	24
4	26
4	27
4	28
5	7
5	8
5	9
5	11
5	13
5	16
5	21
5	24
5	27
5	30
6	11
6	16
6	20
6	23
6	29
7	11
7	21
7	23
7	25
7	26
7	27
7	29
8	11
8	15
8	16
8	18
8	21
8	22
8	23
8	24
8	26
8	27
8	28
8	29
9	11
9	12
9	14
9	18
9	20
9	23
9	24
9	25
9	27
10	11
10	14
10	16
10	18
10	19
10	21
10	28
11	17
11	18
11	20
11	25
11	28
11	29
12	16
12	26
12	30
13	16
13	22
13	23
13	24
13	25
14	17
14	18
14	22
14	25
15	17
15	27
16	23
16	25
16	26
16	29
17	29
18	23
18	24
18	25
18	30
19	22
19	24
19	25
19	26
19	27
19	28
19	29
20	23
20	27
20	28
22	27
22	28
22	30
23	27
24	26
24	28
25	27
25	28
25	29
25	30
0	1
0	2
0	3
0	4
0	5
